path,file,sizeBytes,size,mime,width,height,orientation,suggestedCategory,placementSuggestions
Images/Draco Coffee And Eatery 10_files/unnamed.jpg,unnamed.jpg,95429,93.2 KB,image/jpeg,384,512,portrait,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed.png,unnamed.png,12064,11.8 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 1_files/2024-02-15.jpg,2024-02-15.jpg,2589,2.5 KB,image/jpeg,64,64,square-ish,uncertain,
Images/Draco Coffee And Eatery 1_files/GoogleMaps_Logo_WithDarkOutline.png,GoogleMaps_Logo_WithDarkOutline.png,2133,2.1 KB,image/png,210,44,landscape,map-screenshot,contact/location-section
Images/Draco Coffee And Eatery 1_files/GoogleMaps_Logo_WithLightOutline.png,GoogleMaps_Logo_WithLightOutline.png,2113,2.1 KB,image/png,210,44,landscape,map-screenshot,contact/location-section
Images/Draco Coffee And Eatery 1_files/lockup_maps_color_131x24dp.png,lockup_maps_color_131x24dp.png,4596,4.5 KB,image/png,262,48,landscape,uncertain,
Images/Draco Coffee And Eatery 1_files/transparent.png,transparent.png,68,68.0 B,image/png,1,1,square-ish,uncertain,
Images/Draco Coffee And Eatery 1_files/unnamed(1).png,unnamed(1).png,11171,10.9 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 1_files/unnamed(10).png,unnamed(10).png,235,235.0 B,image/png,32,32,square-ish,uncertain,
Images/Draco Coffee And Eatery 1_files/unnamed(2).png,unnamed(2).png,13940,13.6 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 1_files/unnamed(3).png,unnamed(3).png,13227,12.9 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 1_files/unnamed(4).png,unnamed(4).png,12434,12.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 1_files/unnamed(5).png,unnamed(5).png,9858,9.6 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 1_files/unnamed(6).png,unnamed(6).png,13747,13.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 1_files/unnamed(7).png,unnamed(7).png,13393,13.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 1_files/unnamed(8).png,unnamed(8).png,10681,10.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 1_files/unnamed(9).png,unnamed(9).png,9190,9.0 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 1_files/unnamed.jpg,unnamed.jpg,95429,93.2 KB,image/jpeg,384,512,portrait,uncertain,
Images/Draco Coffee And Eatery 1_files/unnamed.png,unnamed.png,12064,11.8 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 2_files/2024-02-15.jpg,2024-02-15.jpg,2589,2.5 KB,image/jpeg,64,64,square-ish,uncertain,
Images/Draco Coffee And Eatery 2_files/GoogleMaps_Logo_WithDarkOutline.png,GoogleMaps_Logo_WithDarkOutline.png,2133,2.1 KB,image/png,210,44,landscape,map-screenshot,contact/location-section
Images/Draco Coffee And Eatery 2_files/GoogleMaps_Logo_WithLightOutline.png,GoogleMaps_Logo_WithLightOutline.png,2113,2.1 KB,image/png,210,44,landscape,map-screenshot,contact/location-section
Images/Draco Coffee And Eatery 2_files/lockup_maps_color_131x24dp.png,lockup_maps_color_131x24dp.png,4596,4.5 KB,image/png,262,48,landscape,uncertain,
Images/Draco Coffee And Eatery 2_files/transparent.png,transparent.png,68,68.0 B,image/png,1,1,square-ish,uncertain,
Images/Draco Coffee And Eatery 2_files/unnamed(1).png,unnamed(1).png,11171,10.9 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 2_files/unnamed(10).png,unnamed(10).png,235,235.0 B,image/png,32,32,square-ish,uncertain,
Images/Draco Coffee And Eatery 2_files/unnamed(2).png,unnamed(2).png,13940,13.6 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 2_files/unnamed(3).png,unnamed(3).png,13227,12.9 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 2_files/unnamed(4).png,unnamed(4).png,12434,12.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 2_files/unnamed(5).png,unnamed(5).png,9858,9.6 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 2_files/unnamed(6).png,unnamed(6).png,13747,13.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 2_files/unnamed(7).png,unnamed(7).png,13393,13.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 2_files/unnamed(8).png,unnamed(8).png,10681,10.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 2_files/unnamed(9).png,unnamed(9).png,9190,9.0 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 2_files/unnamed.jpg,unnamed.jpg,95429,93.2 KB,image/jpeg,384,512,portrait,uncertain,
Images/Draco Coffee And Eatery 2_files/unnamed.png,unnamed.png,12064,11.8 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 3_files/2024-02-15.jpg,2024-02-15.jpg,2589,2.5 KB,image/jpeg,64,64,square-ish,uncertain,
Images/Draco Coffee And Eatery 3_files/GoogleMaps_Logo_WithDarkOutline.png,GoogleMaps_Logo_WithDarkOutline.png,2133,2.1 KB,image/png,210,44,landscape,map-screenshot,contact/location-section
Images/Draco Coffee And Eatery 3_files/GoogleMaps_Logo_WithLightOutline.png,GoogleMaps_Logo_WithLightOutline.png,2113,2.1 KB,image/png,210,44,landscape,map-screenshot,contact/location-section
Images/Draco Coffee And Eatery 3_files/lockup_maps_color_131x24dp.png,lockup_maps_color_131x24dp.png,4596,4.5 KB,image/png,262,48,landscape,uncertain,
Images/Draco Coffee And Eatery 3_files/transparent.png,transparent.png,68,68.0 B,image/png,1,1,square-ish,uncertain,
Images/Draco Coffee And Eatery 3_files/unnamed(1).png,unnamed(1).png,11171,10.9 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 3_files/unnamed(10).png,unnamed(10).png,235,235.0 B,image/png,32,32,square-ish,uncertain,
Images/Draco Coffee And Eatery 3_files/unnamed(2).png,unnamed(2).png,13940,13.6 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 3_files/unnamed(3).png,unnamed(3).png,13227,12.9 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 3_files/unnamed(4).png,unnamed(4).png,12434,12.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 3_files/unnamed(5).png,unnamed(5).png,9858,9.6 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 3_files/unnamed(6).png,unnamed(6).png,13747,13.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 3_files/unnamed(7).png,unnamed(7).png,13393,13.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 3_files/unnamed(8).png,unnamed(8).png,10681,10.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 3_files/unnamed(9).png,unnamed(9).png,9190,9.0 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 3_files/unnamed.jpg,unnamed.jpg,95429,93.2 KB,image/jpeg,384,512,portrait,uncertain,
Images/Draco Coffee And Eatery 3_files/unnamed.png,unnamed.png,12064,11.8 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 4_files/2024-02-15.jpg,2024-02-15.jpg,2589,2.5 KB,image/jpeg,64,64,square-ish,uncertain,
Images/Draco Coffee And Eatery 4_files/GoogleMaps_Logo_WithDarkOutline.png,GoogleMaps_Logo_WithDarkOutline.png,2133,2.1 KB,image/png,210,44,landscape,map-screenshot,contact/location-section
Images/Draco Coffee And Eatery 4_files/GoogleMaps_Logo_WithLightOutline.png,GoogleMaps_Logo_WithLightOutline.png,2113,2.1 KB,image/png,210,44,landscape,map-screenshot,contact/location-section
Images/Draco Coffee And Eatery 4_files/lockup_maps_color_131x24dp.png,lockup_maps_color_131x24dp.png,4596,4.5 KB,image/png,262,48,landscape,uncertain,
Images/Draco Coffee And Eatery 4_files/transparent.png,transparent.png,68,68.0 B,image/png,1,1,square-ish,uncertain,
Images/Draco Coffee And Eatery 4_files/unnamed(1).png,unnamed(1).png,11171,10.9 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 4_files/unnamed(10).png,unnamed(10).png,235,235.0 B,image/png,32,32,square-ish,uncertain,
Images/Draco Coffee And Eatery 4_files/unnamed(2).png,unnamed(2).png,13940,13.6 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 4_files/unnamed(3).png,unnamed(3).png,13227,12.9 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 4_files/unnamed(4).png,unnamed(4).png,12434,12.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 4_files/unnamed(5).png,unnamed(5).png,9858,9.6 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 4_files/unnamed(6).png,unnamed(6).png,13747,13.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 4_files/unnamed(7).png,unnamed(7).png,13393,13.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 4_files/unnamed(8).png,unnamed(8).png,10681,10.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 4_files/unnamed(9).png,unnamed(9).png,9190,9.0 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 4_files/unnamed.jpg,unnamed.jpg,95429,93.2 KB,image/jpeg,384,512,portrait,uncertain,
Images/Draco Coffee And Eatery 4_files/unnamed.png,unnamed.png,12064,11.8 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 5_files/2024-02-15.jpg,2024-02-15.jpg,2589,2.5 KB,image/jpeg,64,64,square-ish,uncertain,
Images/Draco Coffee And Eatery 5_files/GoogleMaps_Logo_WithDarkOutline.png,GoogleMaps_Logo_WithDarkOutline.png,2133,2.1 KB,image/png,210,44,landscape,map-screenshot,contact/location-section
Images/Draco Coffee And Eatery 5_files/GoogleMaps_Logo_WithLightOutline.png,GoogleMaps_Logo_WithLightOutline.png,2113,2.1 KB,image/png,210,44,landscape,map-screenshot,contact/location-section
Images/Draco Coffee And Eatery 5_files/lockup_maps_color_131x24dp.png,lockup_maps_color_131x24dp.png,4596,4.5 KB,image/png,262,48,landscape,uncertain,
Images/Draco Coffee And Eatery 5_files/transparent.png,transparent.png,68,68.0 B,image/png,1,1,square-ish,uncertain,
Images/Draco Coffee And Eatery 5_files/unnamed(1).png,unnamed(1).png,11171,10.9 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 5_files/unnamed(10).png,unnamed(10).png,235,235.0 B,image/png,32,32,square-ish,uncertain,
Images/Draco Coffee And Eatery 5_files/unnamed(2).png,unnamed(2).png,13940,13.6 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 5_files/unnamed(3).png,unnamed(3).png,13227,12.9 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 5_files/unnamed(4).png,unnamed(4).png,12434,12.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 5_files/unnamed(5).png,unnamed(5).png,9858,9.6 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 5_files/unnamed(6).png,unnamed(6).png,13747,13.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 5_files/unnamed(7).png,unnamed(7).png,13393,13.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 5_files/unnamed(8).png,unnamed(8).png,10681,10.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 5_files/unnamed(9).png,unnamed(9).png,9190,9.0 KB,image/png,72,72,square-ish,uncertain,
