path,file,sizeBytes,size,mime,width,height,orientation,suggestedCategory,placementSuggestions
Images/Draco Coffee And Eatery 10_files/unnamed(29).png,unnamed(29).png,1788,1.7 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(3).png,unnamed(3).png,13227,12.9 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(30).png,unnamed(30).png,8486,8.3 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(31).png,unnamed(31).png,11020,10.8 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(32).png,unnamed(32).png,10358,10.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(33).png,unnamed(33).png,8851,8.6 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(34).png,unnamed(34).png,12184,11.9 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(35).png,unnamed(35).png,14200,13.9 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(36).png,unnamed(36).png,9331,9.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(37).png,unnamed(37).png,3804,3.7 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(38).png,unnamed(38).png,2499,2.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(39).png,unnamed(39).png,3740,3.7 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(4).png,unnamed(4).png,12434,12.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(40).png,unnamed(40).png,11947,11.7 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(41).png,unnamed(41).png,3762,3.7 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(42).png,unnamed(42).png,12225,11.9 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(43).png,unnamed(43).png,3877,3.8 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(44).png,unnamed(44).png,2427,2.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(45).png,unnamed(45).png,12848,12.5 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(46).png,unnamed(46).png,12317,12.0 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(47).png,unnamed(47).png,2472,2.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(48).png,unnamed(48).png,13122,12.8 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(49).png,unnamed(49).png,11345,11.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(5).png,unnamed(5).png,9858,9.6 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(50).png,unnamed(50).png,2213,2.2 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(51).png,unnamed(51).png,11911,11.6 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(52).png,unnamed(52).png,9584,9.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(53).png,unnamed(53).png,11225,11.0 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(54).png,unnamed(54).png,10345,10.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(55).png,unnamed(55).png,7917,7.7 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(56).png,unnamed(56).png,2391,2.3 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(57).png,unnamed(57).png,8833,8.6 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(58).png,unnamed(58).png,11634,11.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(59).png,unnamed(59).png,11586,11.3 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(6).png,unnamed(6).png,13747,13.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(60).png,unnamed(60).png,12070,11.8 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(61).png,unnamed(61).png,12390,12.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(62).png,unnamed(62).png,12439,12.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(63).png,unnamed(63).png,1843,1.8 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(64).png,unnamed(64).png,10803,10.5 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(65).png,unnamed(65).png,10521,10.3 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(66).png,unnamed(66).png,2075,2.0 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(67).png,unnamed(67).png,12668,12.4 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(68).png,unnamed(68).png,4817,4.7 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(69).png,unnamed(69).png,4054,4.0 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(7).png,unnamed(7).png,13393,13.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(70).png,unnamed(70).png,7256,7.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(71).png,unnamed(71).png,7046,6.9 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(72).png,unnamed(72).png,1894,1.8 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(73).png,unnamed(73).png,10328,10.1 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(74).png,unnamed(74).png,5015,4.9 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(75).png,unnamed(75).png,11211,10.9 KB,image/png,72,72,square-ish,uncertain,
Images/Draco Coffee And Eatery 10_files/unnamed(76).png,unnamed(76).png,3882,3.8 KB,image/png,72,72,square-ish,uncertain,
